,Attraction,Keywords
162,Varkala Lighthouse ,"['building', 'style', 'ruler', 'region', 'view', 'beach', 'area', 'century', 'architecture', 'example']"
163,Ponnumthuruthu Island ,"['boat', 'ride', 'island', 'water', 'atmosphere', 'site', 'backwater', 'shrine', 'year', 'housing']"
164,Tarkarli Beach ,"['beach', 'km', 'diving', 'scuba', 'river', 'boat', 'resort', 'water', 'estuary', 'stretch', 'snorkelling', 'scooter', 'bank', 'confluence', 'tree', 'town', 'ride', 'distance', 'sail', 'shuru']"
165,Malvan Beach ,"['beach', 'fish', 'market', 'stretch', 'scuba', 'mango', 'restaurant', 'tourist', 'kind', 'region', 'cashew', 'coconut', 'tree', 'diver', 'boat', 'evening', 'sand', 'bar', 'fisherman']"
166,Devbaug Beach ,"['confluence', 'lagoon', 'seagull', 'water', 'beach', 'sand', 'swimming', 'bird', 'stretch', 'km']"
167,Kolamb Beach ,"['sport', 'water', 'town', 'end', 'beach', 'km']"
168,Achara Beach ,"['distance', 'swimming', 'watching', 'season', 'dolphin', 'library', 'month', 'year', 'km']"
169,Arse Mahal Beach ,"['detachment', 'region', 'petrol', 'centre', 'extension', 'beach']"
170,Tondavali Beach ,"['beach', 'watching', 'swimming', 'angling', 'dolphin']"
171,Shiroda Velagar Beach ,"['sand', 'stretch', 'water', 'beach']"
172,Uttorda ,"['north', 'south', 'beach', 'km']"
173,Sasthamcotta Lake ,"['lake', 'water', 'town', 'bacteria', 'drinking', 'freshwater', 'people', 'source', 'population', 'cavaborus', 'temple', 'km']"
174,Ozran Beach ,"['beach', 'attraction', 'proximity', 'rock', 'shore', 'shack', 'hill', 'tourist', 'face', 'bed']"
175,Harmal Beach ,"['beach', 'headland', 'wave', 'presence', 'site', 'side', 'clothes', 'foot', 'destination', 'handicraft', 'jewellery', 'spring', 'cliff', 'vicinity', 'swimming', 'shack', 'proximity', 'region']"
176,Agonda Beach ,"['option', 'beach', 'spot', 'region', 'water', 'accommodation', 'stay', 'picnic', 'traveler', 'km']"
177,Harihareshwar Beach ,"['ride', 'tourist', 'beach', 'attraction', 'accommodation', 'boat', 'town', 'speed', 'facility', 'water', 'time', 'month', 'scooter']"
178,Kondivli Beach ,"['beach', 'tourist', 'water', 'surfing', 'attraction', 'sand', 'cliff', 'distance', 'attract', 'destination', 'surroundings', 'sport', 'trekking', 'km']"
179,Pandre Samudra ,"['beach', 'name', 'atmosphere', 'emerald', 'water', 'sand', 'tourist', 'vicinity']"
180,Ganeshghule Beach ,"['distance', 'view', 'sunset', 'emerald', 'nature', 'beach', 'lover', 'retreat', 'holiday', 'terrain', 'sea', 'km']"
181,Kunkeshwar Beach ,"['beach', 'km', 'time', 'tourist', 'temple', 'cave', 'swimming', 'warrior', 'shore', 'sculpture', 'station', 'airport', 'walking', 'tree', 'bathing', 'sun', 'stretch', 'sand', 'lifeguard', 'auto']"
182,Miramar Beach ,"['beach', 'view', 'tree', 'walk', 'evening', 'gull', 'bird', 'sea', 'plover', 'palm', 'people', 'winter', 'season', 'estuary', 'morning', 'km']"
183,Sinquerim Beach ,"['beach', 'attraction', 'view', 'skiing', 'watersports', 'proximity', 'fishing', 'windsurfing', 'diving', 'lighthouse', 'water', 'region', 'scuba', 'km']"
184,Baga River ,"['attraction', 'specie', 'livelihood', 'region', 'home', 'beach', 'source', 'forest', 'river', 'fisherman', 'km']"
185,Coco Beach ,"['sea', 'trip', 'tourist', 'beach', 'water', 'palm', 'occupation', 'dolphin', 'site', 'bay', 'people', 'spotting', 'crystal', 'plantation', 'sunrise', 'watersports', 'tree', 'activity', 'seashore', 'fishing']"
186,Vainguinim ,"['beach', 'specie', 'vegetation', 'home', 'hill', 'city', 'bird', 'centre', 'km']"
187,Siridao Beach ,"['visit', 'oyster', 'pearl', 'beach', 'distance', 'tourist', 'shell', 'globe', 'week', 'km']"
188,Harihareshwar Beach ,"['beach', 'variety', 'month', 'seafood', 'restaurant', 'town', 'proximity', 'watersports']"
189,Kondivali Beach ,"['sport', 'trainer', 'adventure', 'cliff', 'guide']"
190,Shankarpur Beach ,"['beach', 'bus', 'harbour', 'rest', 'site', 'plantation', 'house', 'shell', 'population', 'collection', 'help', 'town', 'crab', 'tourist', 'fishing', 'state', 'tree', 'fisherman']"
191,Digha Beach ,"['beach', 'sunset', 'sunrise', 'reign', 'letter', 'wife', 'swimming', 'side', 'coast', 'ideal', 'group']"
192,Vagator Beach ,"['beach', 'stall', 'drink', 'month', 'water', 'snack', 'cliff', 'spring', 'trinket', 'red', 'clothes', 'side', 'time']"
193,Ashvem Beach ,"['turtle', 'palm', 'village', 'tree', 'beach']"
194,Kodi Beach ,"['swimming', 'shore', 'language', 'beach', 'side', 'water', 'proximity', 'activity']"
195,Uppinakudru ,"['temple', 'idol', 'site', 'bundle', 'deity', 'village', 'north', 'people', 'market', 'trading', 'salt', 'rule', 'seafood', 'price', 'event', 'mutt', 'tobacco']"
196,Trasi ,"['beach', 'north', 'distance', 'resort', 'kilometre', 'km']"
197,Coco Beach ,"['trip', 'beach', 'water', 'area', 'dolphin', 'village', 'picnic', 'sport', 'facility', 'palm', 'sea', 'local', 'tree', 'traveller', 'ride', 'tourist', 'fishing', 'spotting']"
198,Coco Beach ,"['beach', 'trip', 'watersports', 'spot', 'fishing', 'sand', 'tourist', 'activity', 'tree', 'palm', 'dolphin', 'site', 'village']"
199,Arpora ,"['site', 'attraction', 'destination', 'beach', 'distance', 'temple', 'month', 'night', 'km']"
200,Baga River ,"['river', 'specie', 'field', 'home', 'site', 'paddy', 'side', 'north', 'forest', 'attraction', 'festival', 'boat', 'riverside', 'bridge', 'settlement', 'slope', 'km']"
201,Siridao Beach ,"['beach', 'distance', 'event', 'oyster', 'pearl', 'site', 'shell', 'town', 'watersports', 'km']"
202,Mandrem Beach ,"['site', 'bus', 'jewellery', 'handicraft', 'beach', 'clothes', 'bamboo', 'taxi', 'fish', 'turtle', 'marine', 'tree', 'collection', 'proximity', 'town', 'tourist', 'habitat', 'tide', 'convenience', 'eagle']"
203,Sunset Beach ,"['palm', 'view', 'sunset', 'crystal', 'grove', 'number', 'beach', 'sand', 'water', 'traveller']"
204,Vainguinim ,"['beach', 'specie', 'vegetation', 'silk', 'kilometre', 'hill', 'tourist', 'forest', 'bird', 'traveller', 'sand', 'quality']"
205,Cavelossim Beach ,"['beach', 'bus', 'watching', 'taxi', 'activity', 'traveller', 'plenty', 'foot', 'dolphin', 'elevation', 'southernmost', 'tip', 'order']"
206,Dahanu Beach ,"['tourist', 'attraction', 'surroundings', 'shore', 'swimming', 'beach', 'casuarina']"
207,Bordi Beach ,"['beach', 'spot', 'casuarina', 'swimming', 'month', 'tourist', 'surroundings', 'importance', 'pollution']"
208,Guhagar Beach ,"['stall', 'food', 'tree', 'sand', 'swimming', 'm', 'sunbathing', 'activity', 'suru', 'town', 'market', 'plantation', 'beverage', 'chaat', 'flea', 'beach']"
209,Palolem Beach ,"['beach', 'bus', 'km', 'trip', 'shape', 'pub', 'service', 'village', 'hour', 'prawn', 'bar', 'water', 'ferry', 'lobster', 'cruise', 'type', 'fishing', 'seafood', 'fish', 'town']"
210,Patnem Beach ,"['beach', 'shack', 'road', 'tourist', 'umbrella', 'coffee', 'bar', 'club', 'presence', 'chair', 'trinket', 'distance', 'discotheque', 'swimming', 'nightlife', 'region', 'bus', 'km', 'taxi', 'restaurant']"
211,Rajbag Beach ,"['beach', 'sand', 'region', 'resort', 'village', 'dune', 'stretch', 'tree', 'km']"
212,Bambolim Beach ,"['beach', 'hand', 'tennis', 'scuba', 'jet', 'club', 'village', 'station', 'facility', 'health', 'skiing', 'diving', 'gym', 'parasailing', 'activity', 'cricket', 'volleyball', 'tourist', 'km']"
213,Siridao Beach ,"['beach', 'instrument', 'pearl', 'tourist', 'entrance', 'shell', 'fervour', 'oyster', 'estuary', 'statue', 'cave', 'week', 'stone', 'km']"
214,Vainguinim Beach ,"['beach', 'water', 'surfing', 'palm', 'diving', 'skiing', 'wind', 'scuba', 'jet', 'port', 'km']"
215,Marivel Beach ,"['sunrise', 'market', 'beach', 'catch', 'view', 'shift', 'fisherman', 'km']"
216,Velsao Beach ,"['atmosphere', 'opportunity', 'swimming', 'coast', 'sunbathing', 'beach', 'km']"
217,Arossim Beach ,"['beach', 'surfing', 'attraction', 'sailing', 'water', 'watersports', 'scooting', 'km']"
218,Vengurla's Lighthouse ,"['hill', 'view', 'beach', 'tourist', 'sea', 'tower', 'distance', 'step', 'shore', 'path', 'top', 'site', 'village', 'flight', 'km']"
219,Nivati Beach ,"['beach', 'village', 'ocean', 'region', 'significance', 'number', 'fishing', 'tourist', 'year', 'traveller', 'atmosphere', 'crystal', 'water', 'side']"
220,Shiroda Beach ,"['distance', 'movement', 'beach', 'village', 'protest', 'division', 'order']"
221,Mochemad Beach ,"['beach', 'cyprus', 'plantation', 'sand', 'village', 'coastline', 'sport', 'water', 'distance', 'view', 'suru', 'activity', 'mountain', 'hill', 'wave', 'tree', 'km']"
222,Vayangani Beach ,"['beach', 'coconut', 'palm', 'view', 'cashew', 'mango', 'shore', 'fruit', 'village', 'jack', 'sea']"
223,Chandipur Beach ,"['fishing', 'village', 'beach', 'tourist', 'temple', 'boat', 'view', 'tree', 'sand', 'sight', 'motor', 'confluence', 'dance', 'state', 'affair', 'community', 'cruise', 'swarm', 'expanse', 'spot']"
224,Chandbali ,"['tourist', 'time', 'ride', 'river', 'port', 'boat']"
225,Talshari ,"['km', 'fishing', 'island', 'activity', 'beach']"
226,Dhamra ,"['km', 'distance', 'boat', 'motor', 'launch', 'sea']"
227,Caranzalem Beach ,"['beach', 'water', 'km', 'undercurrent', 'round', 'resort', 'dish', 'skiing', 'sand', 'tourist', 'year', 'destination', 'sport', 'wine', 'restaurant', 'stretch']"
228,Vainguinim Beach ,"['beach', 'groove', 'region', 'church', 'resort', 'luxury', 'hotel', 'specie', 'government', 'emporium', 'palm', 'bird', 'birdwatchers', 'space', 'accommodation', 'shopping', 'walk', 'visitor']"
229,Akshi Beach ,"['beach', 'facility', 'adventure', 'sand', 'birdwatchers', 'town', 'activity', 'fisherman', 'km']"
230,Versoli Beach ,"['beach', 'coconut', 'vegetation', 'region', 'casuarina', 'water', 'sand', 'proximity', 'village', 'outskirt', 'base']"
231,Brahma Kund ,"['temple', 'statue', 'step', 'tank', 'side', 'vicinity', 'year']"
232,Thal Beach ,"['part', 'fishing', 'centre', 'lot', 'beach', 'town', 'name', 'ruin', 'visitor', 'km']"
233,Ashwem Beach ,"['hut', 'site', 'house', 'delicacy', 'shack', 'sand', 'accommodation', 'proximity', 'bike', 'tree', 'destination', 'restaurant', 'stretch']"
234,Malpe Beach ,"['ferry', 'beach', 'island']"
235,St. Mary's Island ,"['island', 'rock', 'formation', 'tourism', 'port', 'ferry', 'size', 'site', 'monument', 'group']"
236,Bogmalo Beach ,"['beach', 'fishing', 'sunrise', 'view', 'sunset', 'wear', 'showpiece', 'diving', 'village', 'activity', 'jewellery', 'km']"
237,Sernabatim Beach ,"['beach', 'coconut', 'attraction', 'palm', 'dolphin', 'proximity', 'extension']"
238,Colva Beach ,"['beach', 'fishing', 'coconut', 'palm', 'view', 'swimming', 'water', 'tourist', 'proximity', 'activity', 'tree', 'villa']"
239,Siridao Beach ,"['beach', 'oyster', 'estuary', 'pearl', 'tourist', 'shell', 'cave', 'week', 'visitor']"
240,Hansa Beach ,"['beach', 'family', 'cleaning', 'access', 'personnel', 'occasion', 'festival', 'distance', 'unit', 'tourist', 'area', 'village', 'stretch', 'km']"
241,Hollant Beach ,"['view', 'distance', 'sunset', 'beach', 'tourist', 'sunrise', 'foothill', 'km']"
242,Arossim Beach ,"['water', 'beach', 'surfing', 'distance', 'sailing', 'sport', 'tourist', 'village', 'devotee', 'activity', 'scooting', 'km']"
243,Cansaulim Beach ,"['beach', 'refreshing', 'item', 'extension', 'stretch', 'number', 'wine', 'shop', 'drink', 'pub', 'handicraft', 'beer', 'cuisine', 'vodka', 'seafood', 'shack', 'bar', 'km']"
244,Arossim Beach ,"['beach', 'water', 'activity', 'sport', 'ride', 'speedboat', 'surfing', 'destination', 'seeker', 'party', 'time', 'mile', 'leisure', 'fishing', 'tourist', 'equipment', 'swimming', 'skiing', 'training', 'boat']"
245,Mandrem Beach ,"['beach', 'turtle', 'home', 'market', 'item', 'eagle', 'drink', 'area', 'food', 'fish', 'type', 'tree']"
246,Morjim Beach ,"['beach', 'turtle', 'attraction', 'temple', 'folk', 'dance', 'shrine', 'village', 'structure', 'complex', 'year']"
247,Querim Beach ,"['area', 'km', 'birdwatching', 'beach']"
248,Calangute Beach ,"['beach', '70', '60', 'exhibition', 'art', 'sand', 'show', 'hippie', 'culture']"
249,Maravanthe Beach ,"['beach', 'snorkelling', 'attraction', 'traveller', 'sand', 'tourist', 'proximity', 'activity', 'fishing', 'temple', 'bank', 'diving', 'village', 'scuba']"
250,Kodi Beach ,"['activity', 'distance', 'town', 'shore', 'swimming', 'km']"
251,Conco Island ,"['island', 'forest', 'tide', 'ferry', 'water', 'swim', 'site', 'monkey', 'ride']"
252,Cola Beach ,"['beach', 'km', 'recreation', 'palm', 'enthusiast', 'seeker', 'bonfire', 'distance', 'ambience', 'experience', 'leisure', 'sub', 'tree', 'division', 'coast', 'solitude', 'strip', 'walk', 'traveller', 'night']"
253,Galgibaga Beach ,"['turtle', 'beach', 'strip', 'palm', 'casuarina', 'grove', 'sub', 'conservation', 'division', 'activity', 'km']"
254,Butterfly Beach ,"['dolphin', 'work', 'beach', 'sea', 'island', 'ferry', 'stretch', 'visitor', 'grouper', 'north', 'article', 'way', 'water', 'bamboo', 'crochet', 'distance', 'urchin', 'sun', 'm.', 'cucumber']"
255,Canaguinim Beach ,"['beach', 'surroundings', 'tourist', 'peace', 'crystal', 'water', 'coastline', 'blend', 'vicinity', 'stretch', 'result']"
256,Rock Formations ,"['rock', 'region', 'motor', 'lashing', 'tide', 'dugout', 'beach', 'million', 'year', 'sea', 'formation', 'ride', 'wave', 'boulder', 'cove', 'canoe', 'outboard']"
257,Tannirubhavi Beach ,"['beach', 'distance', 'ferry', 'power', 'month', 'time', 'plant', 'km']"
258,Kihim Beach ,"['specie', 'attraction', 'vicinity', 'beach', 'butterfly', 'bird', 'church', 'tower']"
259,Marve Beach ,"['beach', 'proximity']"
260,Versova Beach ,"['fishing', 'attraction', 'region', 'beach', 'creek', 'tourist', 'time', 'community']"
261,Silver Beach ,"['beach', 'number', 'horse', 'tourist', 'boat', 'child', 'activity', 'sea', 'traveller', 'house', 'side', 'area', 'riding', 'play', 'opportunity']"
262,Tarkarli Beach ,"['beach', 'snorkelling', 'confluence', 'region', 'diving', 'strip', 'watersports', 'scuba']"
263,Walaval Creek ,"['region', 'season', 'attraction', 'summer', 'time']"
264,Nivati Beach ,"['fishing', 'village', 'side', 'region', 'beach']"
265,Sargeshwar Beach ,"['beach', 'attraction', 'water', 'sport', 'swimming', 'vicinity', 'bus']"
266,Vayangani Beach ,"['beach', 'relaxation', 'stroll', 'fruit', 'mango', 'jack', 'tree']"
267,Karli Backwaters ,"['backwater', 'specie', 'region', 'home', 'tourist', 'one', 'ambience', 'estuarine', 'houseboat', 'animal']"
268,Kodikkarai Beach ,"['beach', 'wildlife', 'specie', 'variety', 'hand', 'fauna', 'bonnet', 'month', 'splendour', 'heron', 'bird', 'season', 'town', 'turtle', 'attraction', 'part', 'visit', 'flora', 'ibis', 'atmosphere']"
269,Muzhappilangad Beach ,"['beach', 'km', 'tourist', 'swimming', 'distance', 'region', 'rock', 'auto', 'water', 'rickshaw', 'taxi', 'sun']"
270,Marari Beach ,"['beach', 'km', 'water', 'railway', 'fishing', 'tourist', 'station', 'village', 'sea', 'taxi', 'cruise', 'surfing', 'traveller', 'attraction', 'backwater', 'boat', 'skiing', 'name', 'activity']"
271,Beypore Beach ,"['beach', 'km', 'bridge', 'city', 'sea', 'centre', 'building', 'trading', 'maritime', 'station', 'transportation', 'vessel', 'bank', 'industry', 'boat', 'construction', 'bus', 'pathway', 'stone', 'ship']"
272,Ezhimala Beach ,"['hill', 'city', 'beach', 'bus', 'chamber', 'stone', 'taxi', 'herb', 'altitude', 'top', 'cave', 'academy', 'rickshaw', 'level', 'sea', 'attraction', 'm', 'pillar', 'auto', 'km']"
273,Moppila Bay Beach ,"['harbour', 'fishing', 'beach', 'bus', 'auto', 'remnant', 'fort', 'regime', 'temple', 'country', 'tourist', 'aid', 'rickshaw', 'taxi', 'region']"
274,Kurumgad Island ,"['island', 'spot', 'distance', 'region', 'hill', 'destination', 'top', 'native', 'resort', 'picnic', 'km']"
275,Tagore Beach ,"['beach', 'confluence', 'sunrise', 'sunset', 'wave', 'coconut', 'sand', 'tourist', 'coast', 'traveller', 'town', 'surroundings', 'bank', 'shape', 'grove', 'water']"
276,Muzhappilangad Beach ,"['beach', 'km', 'distance', 'swimmer', 'destination', 'attraction', 'swimming', 'drive', 'length', 'activity']"
277,Dharmadam Thuruth ,"['island', 'boat', 'midst', 'home', 'acre', 'bush', 'vicinity', 'bird', 'coconut', 'palm', 'plantation', 'winter', 'site', 'land', 'area', 'group']"
278,Bangaram Island ,"['island', 'tourist', 'gateway', 'scuba', 'sport', 'diving', 'life', 'year', 'weather', 'season', 'cruise', 'airplane', 'lagoon', 'airport', 'attraction', 'snorkelling', 'km', 'area', 'adventure', 'reef']"
279,Arambol Beach ,"['beach', 'path', 'north', 'stall', 'end', 'shack', 'sand', 'south', 'outcropping', 'souvenir', 'handicraft', 'side', 'stretch', 'garment', 'km']"
280,Querim Beach ,"['beach', 'arambol', 'casuarina', 'interval', 'south', 'palm', 'tree', 'slope', 'minute', 'ferry', 'tourist', 'fort', 'service', 'km']"
281,Kalacha Beach ,"['beach', 'terrain', 'lagoon', 'path', 'tourist', 'cliff', 'north', 'foot', 'water', 'beauty', '1960s', 'hippy', 'belief']"
282,Freshwater Lake ,"['lake', 'stream', 'water', 'sulphur', 'property', 'mud', 'spring']"
283,Manginapudi Beach ,"['dance', 'beachside', 'village', 'festival', 'beach', 'course', 'water', 'flock', 'form', 'seawater', 'fishing', 'month', 'school', 'bay', 'port', 'soil', 'dip', 'km']"
284,Velneshwar Beach ,"['beach', 'seashore', 'wave', 'rock', 'town', 'sunbathing', 'stretch', 'year', 'middle']"
285,Guhagar Beach ,"['beach', 'stall', 'town', 'food', 'swimming', 'chat', 'district', 'm', 'activity', 'beverage', 'distance', 'market', 'flea', 'attraction', 'side', 'stretch']"
286,Shastri River ,"['village', 'river', 'side', 'view', 'stretch', 'km']"
287,Covelong Beach ,"['activity', 'fishing', 'beach', 'location', 'port', 'distance', 'stretch', 'retreat', 'plethora', 'sport', 'fort', 'excursion', 'year', 'sight', 'tree', 'surfing', 'palm', 'coast', 'vicinity', 'water']"
288,Agatti ,"['km', 'adventure', 'plenty', 'scuba', 'snorkeling', 'fun', 'side', 'length', 'beach', 'water', 'pleasure', 'sport', 'diving', 'glass', 'sea', 'leisure', 'width', 'airport', 'holiday', 'boat']"
289,Bangaram ,"['island', 'diving', 'lot', 'plenty', 'water', 'life', 'lagoon', 'site', 'ray', 'beach', 'shape', 'teardrop', 'part', 'hut', 'cottage', 'shark', 'snorkeling', 'kayaking', 'km', 'form']"
290,Kalpeni ,"['island', 'side', 'kayaking', 'taboo', 'shore', 'pedal', 'sport', 'bank', 'part', 'tourist', 'place', 'woman', 'boat', 'swimming', 'km', 'lagoon', 'thing', 'debris', 'islet', 'beauty']"
291,Kappad Beach ,"['beach', 'tourist', 'land', 'temple', 'significance', 'rock', 'boat', 'ride', 'traveller', 'year']"
292,Korapuzha ,"['river', 'km', 'distance', 'view', 'surroundings', 'tourist', 'site', 'city', 'mingling']"
293,Pookot Lake ,"['lake', 'specie', 'tourist', 'boat', 'proximity', 'traveller', 'hill', 'water', 'ride', 'child', 'fish', 'surroundings', 'vicinity', 'park', 'lakecomprises', 'forest']"
294,Bhogwe Beach ,"['beach', 'shore', 'bird', 'view', 'seashore', 'sunbathing', 'activity', 'group', 'sea']"
295,Redi Beach ,"['side', 'part', 'ruin', 'attraction', 'beach']"
296,Bagayat Beach ,"['region', 'coastline', 'beach']"
